id,budget,company,country,director,genre,domestic_revenue_usd,name,rating,released,runtime,score,star,votes,writer,year,rank,total_revenue_usd,international_revenue_usd
2770,80000000,Harpo Films,USA,Jonathan Demme,Drama,22852487,Beloved,R,10/16/1998,172,5.9,Oprah Winfrey,6354,Toni Morrison,1998,4698,22852487,0
1419,15000000,TriStar Pictures,USA,Michael Apted,Crime,22660758,Thunderheart,R,4/3/1992,119,6.8,Val Kilmer,12056,John Fusco,1992,4727,22660758,0
2304,25000000,Universal Pictures,USA,Ernest R. Dickerson,Action,21162420,Bulletproof,R,9/6/1996,84,5.8,Damon Wayans,31241,Joe Gayton,1996,4731,22611954,1449534
653,5000000,Cinetel Films,USA,Steve Carver,Action,807947,Bulletproof,R,3/4/1988,93,5,Gary Busey,1057,T.L. Lankford,1988,4731,22611954,21804007
1036,0,Boy of the Year,USA,Tom Ropelewski,Comedy,21036771,Madhouse,PG-13,2/16/1990,90,5.3,Richard Alexander,2370,Tom Ropelewski,1990,4747,22483630,1446859
4895,30000000,Rogue Pictures,UK,Neil Marshall,Action,10955425,Doomsday,R,3/14/2008,113,6,Rhona Mitra,65516,Neil Marshall,2008,4750,22472631,11517206
4731,1500000,Night and Day Pictures,USA,Adrienne Shelly,Comedy,19067631,Waitress,PG-13,5/25/2007,108,7,Keri Russell,39286,Adrienne Shelly,2007,4781,22240529,3172898
2252,6000000,Miramax,UK,Douglas McGrath,Comedy,22201883,Emma,PG,8/30/1996,120,6.7,Gwyneth Paltrow,29972,Jane Austen,1996,4783,22231658,29775
6303,35000000,Open Road Films (II),USA,David Ayer,Action,10508518,Sabotage,R,3/28/2014,109,5.7,Arnold Schwarzenegger,51146,Skip Woods,2014,4795,22126842,11618324
772,13000000,Paramount Pictures,USA,Joel Schumacher,Comedy,22030000,Cousins,PG-13,2/10/1989,109,6.3,Ted Danson,3667,Jean-Charles Tacchella,1989,4805,22026369,-3631
4616,15000000,Fox 2000 Pictures,USA,Michael Mayer,Adventure,20998709,Flicka,PG,10/20/2006,95,6.2,Alison Lohman,6494,Mark Rosenthal,2006,4823,21893591,894882
4171,30000000,Touchstone Pictures,USA,Charles Stone III,Comedy,21800302,Mr 3000,PG-13,9/17/2004,104,5.5,Bernie Mac,12740,Eric Champnella,2004,4829,21839377,39075
6106,15000000,Ecosse Films,UK,Oliver Hirschbiegel,Biography,331634,Diana,PG-13,12/20/2013,113,5.5,Naomi Watts,16386,Stephen Jeffreys,2013,4841,21766271,21434637
