rank,name,year,total
167,The croods,2013,587204668
168,The hangover part ii,2011,586764305
169,I am legend,2007,585410052
170,Iron man,2008,585366247
171,Ready player one,2018,582890172
172,Operation red sea,2018,579330426
173,Night at the museum,2006,574480841
174,Fifty shades of grey,2015,569651467
175,Kong: skull island,2017,566652812
176,The smurfs,2011,563749323
177,King kong,2005,562363449
178,Cars 2,2011,559852396
179,Star wars: episode v - the empire strikes back,1980,557779124
180,Puss in boots,2011,554987477
181,The mermaid,2016,553810228
182,Armageddon,1998,553709788
183,The day after tomorrow,2004,552639571
184,Ted,2012,549368315
185,American sniper,2014,547426372
186,Mission: impossible ii,2000,546388108
187,Detective chinatown 2,2018,544185156
188,X-men: apocalypse,2016,543934105
189,Sherlock holmes: a game of shadows,2011,543848418
190,Despicable me,2010,543113985
191,Cinderella,2015,542351353
192,Madagascar,2005,542063846
193,World war z,2013,540007876
194,Brave,2012,538983207
195,The simpsons movie,2007,536414270
196,The revenant,2015,532950503
197,The meg,2016,530254422
198,Ralph breaks the internet,2018,529323962
199,Hotel transylvania 3: summer vacation,2018,528583774
200,The boss baby,2017,527965936
201,Dunkirk,2017,526944695
202,Godzilla,2014,524976069
203,Sherlock holmes,2009,524028679
204,Meet the fockers,2004,522657936
205,How to train your dragon: the hidden world,2019,521802551
206,Wall·e,2008,521311860
207,Kung fu panda 3,2016,521170825
208,Terminator 2: judgment day,1991,520884847
209,Ant-man,2015,519311965
210,The grinch,2018,511595957
211,Ghost,1990,505870681
212,Aladdin,1992,504050219
213,Rio 2,2014,498781117
214,Troy,2004,497409852
215,Toy story 2,1999,497374776
216,How to train your dragon,2010,494878759
217,Twister,1996,494471524
218,Oz the great and powerful,2013,493311825
219,Clash of the titans,2010,493214993
220,Maleficent: mistress of evil,2019,491730089
221,War for the planet of the apes,2017,490719763
222,Shrek,2001,487769799
223,Mr. & mrs. smith,2005,487287646
224,Angels & demons,2009,485930816
225,Teenage mutant ninja turtles,2014,485004754
226,Bruce almighty,2003,484592874
227,Rio,2011,483866518
228,Saving private ryan,1998,482349603
229,Rise of the planet of the apes,2011,481800873
230,Home alone,1990,477063114
231,Star wars: episode vi - return of the jedi,1983,475347111
232,Charlie and the chocolate factory,2005,474968763
233,Hotel transylvania 2,2015,474800000
234,Indiana jones and the last crusade,1989,474310887
