,Rank,Title,Lifetime Gross,Year
0,1,Avengers: Endgame,"$2,797,800,564",2019
1,2,Avatar,"$2,790,439,000",2009
2,3,Titanic,"$2,195,169,138",1997
3,4,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2015
4,5,Avengers: Infinity War,"$2,048,359,754",2018
5,6,Jurassic World,"$1,670,400,637",2015
6,7,The Lion King,"$1,656,943,394",2019
7,8,The Avengers,"$1,518,812,988",2012
8,9,Furious 7,"$1,515,048,151",2015
9,10,Frozen II,"$1,450,026,933",2019
10,11,Avengers: Age of Ultron,"$1,402,805,868",2015
11,12,Harry Potter and the Deathly Hallows: Part 2,"$1,361,871,305",2010
12,13,Black Panther,"$1,347,280,161",2018
13,14,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2017
14,15,Jurassic World: Fallen Kingdom,"$1,308,467,944",2018
15,16,Frozen,"$1,280,802,282",2013
16,17,Beauty and the Beast,"$1,263,536,328",2017
17,18,Incredibles 2,"$1,242,805,359",2018
18,19,The Fate of the Furious,"$1,236,005,118",2017
19,20,Iron Man 3,"$1,214,811,252",2013
20,21,Minions,"$1,159,418,131",2015
21,22,Captain America: Civil War,"$1,153,296,293",2016
22,23,Aquaman,"$1,148,461,807",2018
23,24,The Lord of the Rings: The Return of the King,"$1,141,986,831",2003
24,25,Spider-Man: Far from Home,"$1,131,927,996",2019
25,26,Captain Marvel,"$1,128,275,263",2019
26,27,Transformers: Dark of the Moon,"$1,123,794,079",2011
27,28,Skyfall,"$1,108,561,013",2012
28,29,Transformers: Age of Extinction,"$1,104,054,072",2014
29,30,The Dark Knight Rises,"$1,081,056,756",2012
30,31,Joker,"$1,074,251,311",2019
31,32,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248",2019
32,33,Toy Story 4,"$1,073,394,593",2019
33,34,Toy Story 3,"$1,066,969,703",2010
34,35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",2006
35,36,Rogue One: A Star Wars Story,"$1,056,057,273",2016
36,37,Aladdin,"$1,050,693,953",2019
37,38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011
38,39,The Dark Knight,"$1,037,989,858",2008
39,40,Despicable Me 3,"$1,034,799,409",2017
40,41,Jurassic Park,"$1,032,762,121",1993
41,42,Finding Dory,"$1,028,570,889",2016
42,43,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",1999
43,44,Alice in Wonderland,"$1,025,467,110",2010
44,45,Zootopia,"$1,023,784,195",2016
45,46,The Hobbit: An Unexpected Journey,"$1,017,003,568",2012
46,47,Harry Potter and the Sorcerer's Stone,"$1,001,732,101",2001
47,48,Harry Potter and the Deathly Hallows: Part 1,"$980,796,121",2010
48,49,Despicable Me 2,"$970,766,005",2013
49,50,The Lion King,"$968,511,805",1994
50,51,The Jungle Book,"$966,551,947",2016
51,52,Finding Nemo,"$962,859,504",2003
52,53,Jumanji: Welcome to the Jungle,"$962,102,237",2017
53,54,Pirates of the Caribbean: At World's End,"$960,996,492",2007
54,55,The Hobbit: The Desolation of Smaug,"$958,366,855",2013
55,56,The Hobbit: The Battle of the Five Armies,"$956,019,788",2014
56,57,The Lord of the Rings: The Two Towers,"$951,213,658",2002
