,Rank,Title,Lifetime Gross,Year
119,8920,Eiga de tôjô! Tamagotchi dokidoki! Uchû no maigotchi?!,"$6,787,281",2007
120,8921,China: The Panda Adventure,"$6,784,985",2001
121,8922,The Mafia Kills Only in Summer,"$6,782,571",2013
122,8923,House of Voices,"$6,782,283",2004
123,8924,The Road Home,"$6,780,490",2001
124,8925,The Anderssons Rock the Mountains,"$6,779,794",2014
125,8926,A Little Bit of Heaven,"$6,778,388",2011
126,8927,"Snowflake, the White Gorilla","$6,776,616",2011
127,8928,Playing Doctor,"$6,774,594",2014
128,8929,Aaja Nachle,"$6,773,493",2007
129,8930,How Much Do You Love Me?,"$6,771,085",2005
130,8931,Runaway,"$6,770,587",1984
131,8932,The Piano Teacher,"$6,765,335",2001
132,8933,Unforgiven,"$6,763,059",2013
133,8934,Escobar: Paradise Lost,"$6,760,531",2014
134,8935,What Just Happened,"$6,759,057",2008
135,8936,Caught Up,"$6,754,958",1998
136,8937,My Little Eye,"$6,753,562",2002
137,8938,The Sun Is Also a Star,"$6,750,029",2019
138,8939,Séraphin: un homme et son péché,"$6,749,187",2002
139,8940,A Letter to Momo,"$6,748,888",2012
140,8941,Resturlaub,"$6,747,405",2011
141,8942,Bubble Fiction: Boom or Bust,"$6,746,800",2007
142,8943,Smoke Signals,"$6,745,362",1998
143,8944,R-Point,"$6,744,984",2004
144,8945,Piranha,"$6,743,782",2006
145,8946,The Collini Case,"$6,742,527",2019
146,8947,The Mambo Kings,"$6,742,168",1992
147,8948,The Resident,"$6,742,156",2011
148,8949,Telling Tales,"$6,740,968",2015
149,8950,Midnight Special,"$6,740,647",2016
150,8951,Fortress,"$6,739,141",1993
151,8952,Wild Card,"$6,738,764",2015
152,8953,Dark Planet: Rebellion,"$6,738,672",2009
153,8954,The Butterfly,"$6,738,135",2002
154,8955,9½ Weeks,"$6,735,922",1986
155,8956,Kenny,"$6,732,051",2006
156,8957,Just to Be Sure,"$6,726,393",2017
157,8958,The Snows of Kilimanjaro,"$6,726,049",2011
158,8959,Psy 3: W imie zasad,"$6,725,146",2020
159,8960,Churchill,"$6,724,365",2017
160,8961,Trésor,"$6,720,530",2009
161,8962,The Door in the Floor,"$6,715,067",2004
162,8963,Pati Patni Aur Woh,"$6,712,525",2019
163,8964,Azumi,"$6,710,522",2003
164,8965,Ex - Amici come prima!,"$6,704,951",2011
165,8966,El infierno,"$6,703,873",2010
166,8967,Chronicle of a Blood Merchant,"$6,702,181",2015
167,8968,Jacquou le croquant,"$6,700,780",2007
168,8969,Could This Be Love?,"$6,699,197",2006
169,8970,Bleed for This,"$6,698,679",2016
170,8971,Delta Force 2: The Colombian Connection,"$6,698,361",1990
171,8972,Oasis,"$6,696,952",2002
172,8973,Fireflies in the Garden,"$6,692,182",2007
173,8974,Amar te duele,"$6,691,287",2002
174,8975,Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie,"$6,688,303",2012
175,8976,A Scandalous Journey,"$6,687,968",2002
176,8977,Muita Calma Nessa Hora 2,"$6,682,223",2014
177,8978,U Turn,"$6,682,098",1997
178,8979,Fragile,"$6,680,926",2005
179,8980,3096 Tage,"$6,677,474",2013
180,8981,The Tiger of Santa Julia,"$6,676,233",2002
181,8982,Fahrenheit 11/9,"$6,674,168",2018
182,8983,Hairspray,"$6,671,108",1988
183,8984,Nightmares,"$6,670,680",1983
184,8985,The Show Must Go On,"$6,670,532",2007
185,8986,GG Bond 2,"$6,670,000",2014
186,8987,One Missed Call 3: Final,"$6,669,291",2006
187,8988,The Myth,"$6,669,097",2005
188,8989,Six Weeks,"$6,668,025",1982
189,8990,The Immortal,"$6,667,823",2019
190,8991,Street Racer,"$6,667,023",2008
191,8992,The Golden Seal,"$6,666,725",1983
192,8993,Incir Reçeli 2,"$6,664,484",2014
193,8994,Innocence,"$6,662,300",2014
194,8995,My Love,"$6,660,413",2007
195,8996,Forced Vengeance,"$6,660,333",1982
196,8997,Where the Buffalo Roam,"$6,659,377",1980
197,8998,Son of Saul,"$6,659,121",2015
198,8999,InuYasha the Movie 3: Swords of an Honorable Ruler,"$6,654,841",2003
199,9000,April Fools,"$6,652,777",2015
