,Rank,Title,Lifetime Gross,Year
0,8201,The Company Men,"$8,087,000",2011
1,8202,The Adventures of Baron Munchausen,"$8,083,123",1989
2,8203,Whisper If I Forget,"$8,079,191",2014
3,8204,My Giant,"$8,072,007",1998
4,8205,The Crossing 2,"$8,070,921",2015
5,8206,Dino King 3D: Journey to Fire Mountain,"$8,065,236",2018
6,8207,Sahara,"$8,061,843",2017
7,8208,El cantante,"$8,057,636",2007
8,8209,Druzya druzey,"$8,055,417",2014
9,8210,Fullmetal Alchemist,"$8,053,641",2017
10,8211,Nice to Meet You,"$8,051,388",2018
11,8212,The Hidden Blade,"$8,043,781",2004
12,8213,Aspen Extreme,"$8,041,049",1993
13,8214,Sea Level,"$8,039,544",2011
14,8215,Dead Ringers,"$8,038,508",1988
15,8216,The Ice Storm,"$8,038,061",1997
16,8217,Heroine,"$8,036,853",2012
17,8218,Billu,"$8,034,797",2009
18,8219,Tanguy Is Back,"$8,033,866",2019
19,8220,Haunted Honeymoon,"$8,033,397",1986
20,8221,Counter Investigation,"$8,029,345",2007
21,8222,The Texas Chainsaw Massacre 2,"$8,025,872",1986
22,8223,The Meteor Man,"$8,016,708",1993
23,8224,Me and You and Everyone We Know,"$8,012,838",2005
24,8225,The House Where the Mermaid Sleeps,"$8,011,220",2018
25,8226,The Great White Hype,"$8,008,255",1996
26,8227,One Man and His Cow,"$8,003,756",2016
27,8228,My King,"$8,003,331",2015
28,8229,Disobedience,"$8,003,180",2018
29,8230,Apne,"$8,002,973",2007
30,8231,Night Crossing,"$8,000,000",1982
31,8232,In the Electric Mist,"$7,999,896",2009
32,8233,Life Itself,"$7,997,774",2018
33,8234,Denial,"$7,994,527",2016
34,8235,Dazed and Confused,"$7,993,039",1993
35,8236,Crô: O Filme,"$7,988,278",2013
36,8237,American Splendor,"$7,986,084",2003
37,8238,The Pirate Movie,"$7,983,086",1982
38,8239,Sakura Guardian in the North,"$7,978,105",2018
39,8240,The Fixies: Top Secret,"$7,976,551",2017
40,8241,Metallica Through the Never,"$7,975,812",2013
41,8242,Kamen Rider Kiva: King of the Castle in the Demon World,"$7,972,682",2008
42,8243,Merci pour le Chocolat,"$7,972,251",2002
43,8244,Gurasuhoppâ,"$7,971,675",2015
44,8245,The Team,"$7,970,084",2014
45,8246,The French Kissers,"$7,969,540",2009
46,8247,Silk,"$7,965,682",2007
47,8248,"Coconut, the Little Dragon","$7,964,267",2014
48,8249,My Mom's New Boyfriend,"$7,963,718",2008
49,8250,Strange Days,"$7,959,291",1995
50,8251,Fanfan,"$7,949,963",2003
51,8252,Isi/Disi - Amor a lo bestia,"$7,948,409",2004
52,8253,Tough as Iron,"$7,943,977",2013
53,8254,Bibi Blocksberg und das Geheimnis der blauen Eulen,"$7,942,498",2004
54,8255,Chasing Mavericks,"$7,942,116",2012
