,Rank,Title,Lifetime Gross,Year
130,331,True Lies,"$378,882,411",1994
131,332,Slumdog Millionaire,"$378,410,113",2008
132,333,Taken 2,"$376,141,306",2012
133,334,G.I. Joe: Retaliation,"$375,740,705",2013
134,335,Spider-Man: Into the Spider-Verse,"$375,540,831",2018
135,336,1917,"$375,312,717",2019
136,337,Mad Max: Fury Road,"$375,209,362",2015
137,338,Shark Tale,"$374,583,879",2004
138,339,Once Upon a Time... in Hollywood,"$374,343,626",2019
139,340,What Women Want,"$374,111,707",2000
140,341,The Adventures of Tintin,"$373,993,951",2011
141,342,Penguins of Madagascar,"$373,515,621",2014
142,343,X-Men Origins: Wolverine,"$373,062,864",2009
143,344,The Golden Compass,"$372,234,864",2007
144,345,Fifty Shades Freed,"$371,985,018",2018
145,346,Hitch,"$371,594,210",2005
146,347,Terminator Salvation,"$371,353,001",2009
147,348,Captain America: The First Avenger,"$370,569,774",2011
148,349,Edge of Tomorrow,"$370,541,256",2014
149,350,There's Something About Mary,"$369,884,651",1998
150,351,Gone Girl,"$369,330,363",2014
151,352,The Fugitive,"$368,875,760",1993
152,353,Jurassic Park III,"$368,780,809",2001
153,354,My Big Fat Greek Wedding,"$368,744,044",2002
154,355,Hello Mr. Billionaire,"$366,961,907",2018
155,356,Die Hard with a Vengeance,"$366,236,538",1995
156,357,Shazam!,"$365,971,656",2019
157,358,The Nun,"$365,550,119",2018
158,359,Alvin and the Chipmunks,"$365,352,546",2007
159,360,Home Alone 2: Lost in New York,"$365,154,932",1992
160,361,Notting Hill,"$363,944,522",1999
161,362,A Bug's Life,"$363,258,859",1998
162,363,Night at the Museum: Secret of the Tomb,"$363,204,635",2014
163,364,Ocean's Twelve,"$362,744,280",2004
164,365,Planet of the Apes,"$362,211,740",2001
165,366,The Hangover Part III,"$362,000,072",2013
166,367,The World Is Not Enough,"$361,832,400",1999
167,368,Monster Hunt 2,"$361,682,618",2018
168,369,Fast & Furious,"$360,364,265",2009
169,370,Noah,"$359,200,044",2014
170,371,The Karate Kid,"$359,126,022",2010
171,372,Hotel Transylvania,"$358,375,603",2012
172,373,Minority Report,"$358,372,926",2002
173,374,Your Name.,"$357,986,087",2016
174,375,Top Gun,"$356,830,601",1986
175,376,The Legend of Tarzan,"$356,700,357",2016
176,377,American Beauty,"$356,296,601",1999
177,378,Apollo 13,"$355,237,933",1995
178,379,Rain Man,"$354,825,435",1988
179,380,The Great Gatsby,"$353,641,895",2013
180,381,Spirited Away,"$353,512,771",2001
181,382,Dumbo,"$353,284,621",2019
182,383,"I, Robot","$353,133,898",2004
183,384,Basic Instinct,"$352,927,224",1992
184,385,Murder on the Orient Express,"$352,789,811",2017
185,386,X-Men: First Class,"$352,616,690",2011
186,387,The Angry Birds Movie,"$352,333,929",2016
187,388,GoldenEye,"$352,194,034",1995
188,389,Catch Me If You Can,"$352,114,312",2002
189,390,Now You See Me,"$351,723,989",2013
190,391,Hannibal,"$351,692,268",2001
191,392,The Mask,"$351,583,407",1994
192,393,Peter Rabbit,"$351,266,433",2018
193,394,Speed,"$350,448,145",1994
194,395,Dinosaur,"$349,822,765",2000
195,396,Mary Poppins Returns,"$349,545,966",2018
196,397,Deep Impact,"$349,464,664",1998
197,398,The Lorax,"$348,840,316",2012
198,399,The Maze Runner,"$348,319,861",2014
199,400,The Smurfs 2,"$347,545,360",2013
0,201,Dunkirk,"$526,944,695",2017
1,202,Godzilla,"$524,976,069",2014
2,203,Sherlock Holmes,"$524,028,679",2009
3,204,Meet the Fockers,"$522,657,936",2004
4,205,How to Train Your Dragon: The Hidden World,"$521,802,551",2019
5,206,WALL·E,"$521,311,860",2008
6,207,Kung Fu Panda 3,"$521,170,825",2016
7,208,Terminator 2: Judgment Day,"$520,884,847",1991
8,209,Ant-Man,"$519,311,965",2015
9,210,The Grinch,"$511,595,957",2018
10,211,Ghost,"$505,870,681",1990
11,212,Aladdin,"$504,050,219",1992
12,213,Rio 2,"$498,781,117",2014
13,214,Troy,"$497,409,852",2004
14,215,Toy Story 2,"$497,374,776",1999
15,216,How to Train Your Dragon,"$494,878,759",2010
16,217,Twister,"$494,471,524",1996
17,218,Oz The Great and Powerful,"$493,311,825",2013
18,219,Clash of the Titans,"$493,214,993",2010
19,220,Maleficent: Mistress of Evil,"$491,730,089",2019
20,221,War for the Planet of the Apes,"$490,719,763",2017
21,222,Shrek,"$487,769,799",2001
22,223,Mr. & Mrs. Smith,"$487,287,646",2005
23,224,Angels & Demons,"$485,930,816",2009
24,225,Teenage Mutant Ninja Turtles,"$485,004,754",2014
25,226,Bruce Almighty,"$484,592,874",2003
26,227,Rio,"$483,866,518",2011
27,228,Saving Private Ryan,"$482,349,603",1998
28,229,Rise of the Planet of the Apes,"$481,800,873",2011
29,230,Home Alone,"$477,063,114",1990
30,231,Star Wars: Episode VI - Return of the Jedi,"$475,347,111",1983
31,232,Charlie and the Chocolate Factory,"$474,968,763",2005
32,233,Hotel Transylvania 2,"$474,800,000",2015
33,234,Indiana Jones and the Last Crusade,"$474,310,887",1989
34,235,San Andreas,"$473,990,832",2015
35,236,It Chapter Two,"$473,093,228",2019
36,237,Jaws,"$471,859,371",1975
